date,open,high,low,prev_close,ltp,close,vwap,52w_high,52w_low,volume,value,no_of_trades
4/21/2020,555,566,537.55,565.8,550.6,559.95,544.54,1218,443.6,626924,341385027,13706
4/22/2020,555.7,565,532,559.95,532,532,541.24,1218,443.6,332746,180094488,22703
4/23/2020,511,533,505.4,532,505.4,506.25,513.48,1218,443.6,437647,224723412,24641
4/24/2020,496.8,526.7,486,506.25,517,518.05,507.12,1218,443.6,505268,256231174,19385
4/27/2020,523.6,528.9,497,518.05,516,516.2,508.47,1218,443.6,430452,218873575,25098
4/28/2020,520.3,525,504.7,516.2,516.05,512.65,510.6,1218,443.6,509561,260180270,37794
4/29/2020,517.5,538.25,511.1,512.65,538.25,538.2,533.81,1218,443.6,509254,271843423,22625
4/30/2020,553.9,565.1,528.25,538.2,543.65,544.25,562.03,1218,443.6,1903795,1069984704,52702
5/4/2020,517.05,517.05,517.05,544.25,517.05,517.05,517.05,1218,443.6,109074,56396712,1652
5/5/2020,491.2,507.7,491.2,517.05,491.2,491.2,495.19,1218,443.6,1036931,513481707,25427
5/6/2020,471.65,480.65,466.65,491.2,466.65,466.65,469.12,1218,443.6,1093573,513018044,31488
5/7/2020,443.35,449.7,443.35,466.65,443.35,443.35,443.38,1218,443.35,333903,148045070,7156
5/8/2020,421.2,433.7,421.2,443.35,421.2,421.2,422.71,1218,421.2,1824021,771040368,18991
5/11/2020,410.6,419,400.15,421.2,400.15,400.15,405.3,1218,400.15,1413419,572860510,38592
5/12/2020,390,393,380.15,400.15,380.15,380.15,381.2,1218,380.15,1119825,426879026,19779
5/13/2020,399.15,399.15,399.15,380.15,399.15,399.15,399.15,1218,380.15,488294,194902550,5352
5/14/2020,419.1,419.1,407.05,399.15,419.1,419.1,417.93,1218,380.15,863407,360846871,14317
5/15/2020,428,440.05,415.75,419.1,417,417.5,431.26,1218,380.15,1466643,632505092,36955
5/18/2020,425.5,427.5,396.65,417.5,396.65,396.95,404.67,1218,380.15,1125490,455456470,16264
5/19/2020,413,414,383.1,396.95,384,385.85,399.2,1218,380.15,584059,233157596,23626
5/20/2020,385,405.1,381.05,385.85,403,401.7,393.42,1218,380.15,422575,166250639,9634
5/21/2020,411,421.75,403.65,401.7,421.75,420.9,416.23,1218,380.15,725271,301878223,15250
5/22/2020,415,420,399.9,420.9,399.9,399.9,403.82,1218,380.15,800996,323461852,12343
5/26/2020,380,394.8,380,399.9,385.5,383,385.03,1218,380,400872,154347431,18136
5/27/2020,383,399,366,383,394,393.7,383.91,1218,366,690254,264997132,20203
5/28/2020,392.9,404.1,386.2,393.7,397.05,398.1,398.34,1218,366,360237,143497001,23059
5/29/2020,389,399,386.1,398.1,394.15,391.6,391.17,1218,366,628315,245778722,15158
6/1/2020,400,411.15,400,391.6,411.1,410.05,410.03,1218,366,2036271,834933193,24733
6/2/2020,409.4,430.55,405,410.05,430.55,430.4,423.08,1218,366,656215,277629222,19256
6/3/2020,438,451.9,437.15,430.4,451.9,451.9,450.96,1218,366,341433,153971049,6169
6/4/2020,474.45,474.45,445,451.9,471,473.7,472.44,1218,366,2660614,1256978239,49597
6/5/2020,472.8,486.5,452,473.7,478,481.65,466.46,1218,366,1349389,629435602,30619
6/8/2020,490,505.7,490,481.65,505.7,503.1,500.85,1218,366,1739784,871364630,41857
6/9/2020,516,525.7,480,503.1,483.9,485.2,505.28,1218,366,881618,445461161,29775
6/10/2020,485,500,482.05,485.2,487,486.75,487.8,1218,366,1029060,501980459,22722
6/11/2020,486.75,497.65,462.45,486.75,462.45,463.45,480.55,1218,366,495721,238220016,20044
6/12/2020,440.3,484.7,440.3,463.45,483.9,474.3,453.92,1218,366,746862,339017003,22832
6/15/2020,483,484,450.6,474.3,455,456.1,470.64,1218,366,481619,226669712,12052
6/16/2020,473,478.9,459,456.1,478.9,478.6,475.26,1218,366,946197,449688077,18880
6/17/2020,477,483.9,461.9,478.6,468.9,468.5,472.61,1218,366,427465,202023568,21757
6/18/2020,469.9,482,465.05,468.5,472,473.85,472.18,1218,366,690844,326201759,15565
6/19/2020,473.85,496.5,472.6,473.85,486.8,486.15,486.16,1218,366,1258733,611949139,24740
6/22/2020,494.4,510.45,490.05,486.15,510.45,510.45,509.13,1218,366,1107026,563618066,10154
6/23/2020,524,535.95,520,510.45,535.95,535.95,534.65,1218,366,607502,324798304,4652
6/24/2020,562.7,562.7,540.3,535.95,562.7,562.7,561.68,1218,366,1519815,853646104,9910
6/25/2020,555.55,590.8,535.65,562.7,590.8,590.8,580.85,1218,366,1514177,879506082,36550
6/26/2020,601.1,618.45,565.6,590.8,570.85,572.25,588.07,1218,366,715128,420542534,22572
6/29/2020,565,567.9,543.65,572.25,543.65,543.65,545.14,1218,366,140169,76411528,3882
6/30/2020,525,555,525,543.65,541.1,543.5,543.63,1218,366,615575,334647012,15343
7/1/2020,551,568,542,543.5,558.8,558.5,556.15,1218,366,366183,203654499,16582
7/2/2020,573.8,584,562.8,558.5,577,575.45,572.67,1218,366,283658,162441688,12559
7/3/2020,588,588,553.35,575.45,569.9,566.95,567.59,1218,366,253264,143749461,9743
7/6/2020,573,595.25,567.7,566.95,595.25,595.25,586.05,1218,366,710784,416555521,13805
7/7/2020,603.95,625,590,595.25,625,625,609.99,1218,366,578645,352967466,13078
7/8/2020,642.6,656.25,610.05,625,623.95,646.3,652.96,1218,366,1389266,907141908,11301
7/9/2020,634.9,655,615,646.3,626,623.15,633.92,1218,366,856890,543196889,43365
7/10/2020,624.9,638,610,623.15,623.8,622.3,625.53,1218,366,420911,263292845,16545
7/13/2020,635,646,617,622.3,625,624.55,635.05,1218,366,696280,442169744,37111
7/14/2020,624.55,642,617,624.55,635,635.85,627.2,1218,366,460161,288610777,23799
7/15/2020,640,644.8,622,635.85,628,630,632.91,1218,366,618743,391607400,46760
7/16/2020,630,645,618.35,630,630,639.1,632.93,1218,366,438043,277251575,15131
7/17/2020,644.9,662,641.5,639.1,652,653.95,653.24,1218,366,452265,295435531,17366
7/20/2020,658,686.6,658,653.95,686.6,686.6,680.9,1218,366,366542,249577858,15752
7/21/2020,720.9,720.9,698,686.6,720.9,720.9,717.5,1218,366,1588730,1139919096,32482
7/22/2020,722,733.85,690,720.9,718.5,722.4,719.28,1218,366,1151874,828522720,44232
7/23/2020,729.8,758.5,725.4,722.4,758.4,754.1,743.59,1218,366,742067,551793497,30994
7/24/2020,764,791.8,757,754.1,791.8,791.3,790.26,1218,366,2932527,2317469722,17631
7/27/2020,772,816.9,762.2,791.3,773,774,779.02,1218,366,1146852,893420150,108003
7/28/2020,790,804.95,766.65,774,785,785.65,793.73,1218,366,1463026,1161250103,42082
7/29/2020,795,795,746.4,785.65,746.4,746.4,762.98,1218,366,556788,424816290,16986
7/30/2020,742,748.4,709.1,746.4,709.1,709.1,723.92,1218,366,1056528,764839894,26376
7/31/2020,694.95,744.55,680.6,709.1,737.5,740.45,724.88,1218,366,767573,556399513,20025
8/3/2020,750,750,707,740.45,710,713.45,729.15,1218,366,377840,275503136,25572
8/4/2020,723,730,693.05,713.45,697.9,696.75,707.83,1218,366,274691,194434075,18072
8/5/2020,704.8,731.55,702.05,696.75,725.95,725.9,723.69,1218,366,486742,352249490,15035
8/6/2020,732.75,755,720.05,725.9,738,736.65,738.83,1218,366,540753,399521947,19609
8/7/2020,728.1,729.7,707,736.65,709.9,709.5,715.41,1218,366,482417,345124223,20003
8/10/2020,715.5,719.8,701,709.5,703,702,707.89,1218,366,268070,189763830,13142
8/11/2020,707.4,714.1,693.35,702,697.95,696.95,705.07,1218,366,213309,150398187,9487
8/12/2020,701.65,730.8,694.5,696.95,722.1,724.1,717.14,1218,366,447901,321208517,16177
8/13/2020,729.9,732.9,711,724.1,717,716.65,722.33,1218,366,225259,162711115,10774
8/14/2020,725,725,694.4,716.65,707,707.9,711.7,1218,366,191885,136564906,9973
8/17/2020,713.3,715.1,702.5,707.9,706.9,707.2,707.65,1218,366,138704,98154257,8888
8/18/2020,714,725.8,707,707.2,723.85,720,714.39,1218,366,310281,221662998,15293
8/19/2020,730,745,721.35,720,736,731.55,739.98,1218,366,977432,723279575,20183
8/20/2020,730,737.95,716,731.55,727,725.9,728.62,1218,366,231140,168413895,10075
8/21/2020,731,736,720,725.9,726,723.4,729.83,1218,366,177858,129806233,7558
8/24/2020,726,744,724,723.4,735,733.05,735.26,1218,366,442538,325381833,24379
8/25/2020,739,747,726,733.05,736,738.25,739.89,1218,366,813517,601912063,27933
8/26/2020,740,741,727.1,738.25,731.4,733,734.67,1218,366,581941,427536889,17642
8/27/2020,736.1,743.6,728.1,733,728.1,730.45,736.79,1218,366,294529,217007086,10064
8/28/2020,735,762,732,730.45,734,736.7,746.84,1218,366,1466947,1095572789,50028
8/31/2020,745,751.6,651.15,736.7,666.05,668,687.85,1218,366,2088168,1436338710,67366
9/1/2020,672,709.85,672,668,705,701,695.95,1218,366,712957,496181842,39704
9/2/2020,710,711.9,692.3,701,704.55,703.55,702.81,1218,366,338549,237934559,35604
9/3/2020,707.35,707.35,686.4,703.55,689.95,688.7,692.85,1218,366,264365,183164127,25055
9/4/2020,684,684,654.05,688.7,659.9,659.3,662.26,1218,366,882959,584751048,47240
9/7/2020,663.9,663.9,632,659.3,646.1,650.6,643.97,1218,366,510119,328501253,29638
